Wall time,Step,Value
1654926220.513949,251,0.0
1654926473.647361,502,0.0
1654926712.105246,753,0.0
1654926937.833098,1004,0.0
1654927190.234085,1255,0.0
1654927416.446611,1506,0.0
1654927642.260166,1757,0.0
1654927867.100061,2008,1.0
1654928115.841593,2259,0.0
1654928415.845343,2510,0.0
1654928725.623421,2761,0.0
1654928901.471583,3012,0.0
1654929191.449813,3263,0.0
1654929403.806343,3514,0.0
1654929691.602697,3765,0.0
1654929915.843553,4016,0.0
1654930201.637619,4267,0.0
1654930459.023198,4518,0.0
1654930771.875801,4769,11.0
1654931059.594873,5020,11.0
1654931376.512869,5271,11.0
1654931731.642534,5522,0.0
1654932030.512853,5773,11.0
1654932291.196885,6024,0.0
1654932629.435617,6275,0.0
1654932963.61747,6526,11.0
1654933299.78937,6777,11.0
1654933640.283978,7028,11.0
1654933967.016029,7279,11.0
1654934318.794181,7530,22.0
1654934661.374207,7781,23.0
1654935006.781741,8032,55.0
1654935340.167404,8283,0.0
1654935644.961336,8534,0.0
1654935963.759999,8785,44.0
1654936269.424745,9036,0.0
1654936622.402872,9287,12.0
1654936984.989418,9538,66.0
1654937353.955896,9789,45.0
1654937694.886069,10040,22.0
1654938060.158352,10291,77.0
1654938407.161888,10542,66.0
1654938704.985211,10793,0.0
1654938979.002757,11044,0.0
1654939348.341095,11295,44.0
1654939734.338357,11546,122.0
1654940096.206227,11797,100.0
1654940385.566926,12048,0.0
1654940707.177443,12299,44.0
1654941006.535368,12550,33.0
1654941360.160299,12801,88.0
1654941746.365093,13052,67.0
1654942083.556159,13303,66.0
1654942451.766463,13554,88.0
1654942809.968754,13805,66.0
1654943125.056436,14056,0.0
1654943491.53883,14307,89.0
1654943799.221267,14558,11.0
1654944166.727416,14809,55.0
1654944528.714668,15060,55.0
1654944886.545461,15311,77.0
1654945287.744592,15562,132.0
1654945635.936748,15813,66.0
1654945956.900768,16064,33.0
1654946274.907892,16315,11.0
1654946695.910274,16566,165.0
1654947033.189262,16817,11.0
1654947332.32243,17068,0.0
1654947662.897369,17319,56.0
1654948045.927655,17570,121.0
1654948390.777636,17821,66.0
1654948724.077532,18072,33.0
1654948997.126602,18323,0.0
1654949352.722332,18574,67.0
1654949713.285533,18825,99.0
1654950054.501732,19076,55.0
1654950377.259784,19327,0.0
1654950789.670289,19578,154.0
1654951173.279495,19829,133.0
1654951541.293015,20080,88.0
1654951883.48623,20331,44.0
1654952238.634539,20582,66.0
1654952604.910107,20833,88.0
1654952984.108288,21084,111.0
1654953204.373548,21335,0.0
1654953534.299645,21586,33.0
1654953823.291645,21837,0.0
1654954133.708027,22088,11.0
1654954466.298707,22339,22.0
1654954855.26571,22590,100.0
1654955165.446419,22841,22.0
1654955446.613926,23092,11.0
1654955698.351618,23343,0.0
1654955949.396206,23594,0.0
1654956179.061286,23845,0.0
1654956470.451135,24096,0.0
1654956671.864857,24347,0.0
1654956876.716879,24598,0.0
1654957114.398098,24849,0.0
1654957385.962088,25100,0.0
1654957648.845952,25351,0.0
1654957935.828033,25602,0.0
1654958134.463262,25853,0.0
1654958387.479046,26104,0.0
1654958621.672381,26355,0.0
1654958851.376862,26606,0.0
1654959085.144003,26857,0.0
1654959397.879994,27108,0.0
1654959654.896002,27359,0.0
1654959898.033639,27610,0.0
1654960209.628067,27861,0.0
1654960525.833994,28112,0.0
1654960882.232937,28363,55.0
1654961228.550976,28614,0.0
1654961552.231482,28865,11.0
1654961786.606922,29116,0.0
1654962091.830594,29367,0.0
1654962450.01818,29618,56.0
1654962699.204925,29869,0.0
1654963002.716861,30120,0.0
1654963336.401881,30371,44.0
1654963649.320249,30622,33.0
1654963891.61183,30873,0.0
1654964192.627574,31124,0.0
1654964463.460752,31375,0.0
1654964814.589546,31626,44.0
1654965207.028736,31877,143.0
1654965545.201951,32128,33.0
1654965813.16543,32379,0.0
1654966071.417772,32630,0.0
1654966362.227156,32881,11.0
1654966618.386837,33132,0.0
1654966927.703038,33383,11.0
1654967220.954029,33634,0.0
1654967531.021085,33885,0.0
1654967766.784017,34136,0.0
1654968106.369646,34387,56.0
1654968386.111577,34638,11.0
1654968653.561618,34889,0.0
1654968967.200585,35140,45.0
1654969322.175853,35391,44.0
1654969686.534856,35642,77.0
1654970075.191027,35893,143.0
1654970408.685953,36144,77.0
1654970806.790476,36395,155.0
1654971104.791345,36646,0.0
1654971399.950979,36897,22.0
1654971675.350066,37148,0.0
1654972077.172461,37399,122.0
1654972350.385024,37650,0.0
1654972745.972991,37901,111.0
1654973202.222941,38152,242.0
1654973602.574335,38403,143.0
1654974021.550468,38654,99.0
1654974480.348235,38905,187.0
1654974898.129053,39156,144.0
1654975240.270198,39407,55.0
1654975667.032276,39658,121.0
1654976088.788973,39909,198.0
1654976495.02431,40160,99.0
1654976853.398257,40411,55.0
1654977250.738784,40662,110.0
1654977631.726032,40913,88.0
1654978033.948317,41164,133.0
1654978357.753817,41415,11.0
1654978790.393693,41666,177.0
1654979131.146884,41917,67.0
1654979496.507056,42168,67.0
1654979875.543024,42419,66.0
1654980298.68685,42670,155.0
1654980612.301677,42921,11.0
1654981047.126319,43172,177.0
1654981452.255055,43423,165.0
1654981880.885121,43674,188.0
1654982297.231695,43925,154.0
1654982691.876963,44176,144.0
1654983090.114968,44427,132.0
1654983477.488323,44678,132.0
1654983852.709448,44929,110.0
1654984264.297864,45180,176.0
